AppName,word,count,total_tokens,tf,df_platforms,idf,tfidf
Amazon shopping,absolute,345,778915,0.00044292381068537643,4,1.0,0.00044292381068537643
Amazon shopping,absolutely,1491,778915,0.001914201164440279,4,1.0,0.001914201164440279
Amazon shopping,absolutley,8,778915,1.0270697059371048e-05,3,1.2231435513142097,1.2562536875671515e-05
Amazon shopping,absolutly,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,absurd,41,778915,5.263732242927662e-05,4,1.0,5.263732242927662e-05
Amazon shopping,abt,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,abundance,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,abuse,45,778915,5.7772670958962145e-05,4,1.0,5.7772670958962145e-05
Amazon shopping,abusing,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,abusive,11,778915,1.4122208456635191e-05,3,1.2231435513142097,1.7273488204048333e-05
Amazon shopping,abysmal,34,778915,4.3650462502326954e-05,4,1.0,4.3650462502326954e-05
Amazon shopping,acc,50,778915,6.419185662106905e-05,4,1.0,6.419185662106905e-05
Amazon shopping,acce,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,accept,234,778915,0.00030041788898660317,4,1.0,0.00030041788898660317
Amazon shopping,acceptable,72,778915,9.243627353433943e-05,4,1.0,9.243627353433943e-05
Amazon shopping,accepted,76,778915,9.757162206402496e-05,4,1.0,9.757162206402496e-05
Amazon shopping,accepting,40,778915,5.135348529685524e-05,4,1.0,5.135348529685524e-05
Amazon shopping,accesorie,2,778915,2.567674264842762e-06,4,1.0,2.567674264842762e-06
Amazon shopping,access,1409,778915,0.001808926519581726,4,1.0,0.001808926519581726
Amazon shopping,accessable,5,778915,6.419185662106905e-06,4,1.0,6.419185662106905e-06
Amazon shopping,accessed,21,778915,2.6960579780849e-05,4,1.0,2.6960579780849e-05
Amazon shopping,accessibility,31,778915,3.979895110506281e-05,4,1.0,3.979895110506281e-05
Amazon shopping,accessible,99,778915,0.0001270998761097167,4,1.0,0.0001270998761097167
Amazon shopping,accessing,56,778915,7.189487941559734e-05,4,1.0,7.189487941559734e-05
Amazon shopping,accessorie,56,778915,7.189487941559734e-05,4,1.0,7.189487941559734e-05
Amazon shopping,accessory,5,778915,6.419185662106905e-06,4,1.0,6.419185662106905e-06
Amazon shopping,accident,60,778915,7.703022794528286e-05,4,1.0,7.703022794528286e-05
Amazon shopping,accidental,13,778915,1.6689882721477953e-05,3,1.2231435513142097,2.0414122422966212e-05
Amazon shopping,accidentally,176,778915,0.00022595533530616306,4,1.0,0.00022595533530616306
Amazon shopping,accidently,24,778915,3.0812091178113144e-05,4,1.0,3.0812091178113144e-05
Amazon shopping,accommodate,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,accommodating,12,778915,1.5406045589056572e-05,4,1.0,1.5406045589056572e-05
Amazon shopping,accomodating,2,778915,2.567674264842762e-06,4,1.0,2.567674264842762e-06
Amazon shopping,accomplish,9,778915,1.1554534191792429e-05,3,1.2231435513142097,1.4132853985130454e-05
Amazon shopping,according,77,778915,9.885545919644634e-05,4,1.0,9.885545919644634e-05
Amazon shopping,accordingly,16,778915,2.0541394118742096e-05,4,1.0,2.0541394118742096e-05
Amazon shopping,account,550,778915,0.0007061104228317595,4,1.0,0.0007061104228317595
Amazon shopping,accountability,40,778915,5.135348529685524e-05,4,1.0,5.135348529685524e-05
Amazon shopping,accountable,18,778915,2.3109068383584858e-05,4,1.0,2.3109068383584858e-05
Amazon shopping,acct,132,778915,0.0001694665014796223,4,1.0,0.0001694665014796223
Amazon shopping,accumulate,2,778915,2.567674264842762e-06,4,1.0,2.567674264842762e-06
Amazon shopping,accumulated,4,778915,5.135348529685524e-06,4,1.0,5.135348529685524e-06
Amazon shopping,accuracy,24,778915,3.0812091178113144e-05,4,1.0,3.0812091178113144e-05
Amazon shopping,accurate,226,778915,0.0002901471919272321,4,1.0,0.0002901471919272321
Amazon shopping,accurately,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,accused,23,778915,2.9528254045691763e-05,4,1.0,2.9528254045691763e-05
Amazon shopping,achieve,7,778915,8.986859926949667e-06,4,1.0,8.986859926949667e-06
Amazon shopping,acknowledge,25,778915,3.2095928310534525e-05,4,1.0,3.2095928310534525e-05
Amazon shopping,acknowledged,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,acount,36,778915,4.6218136767169716e-05,4,1.0,4.6218136767169716e-05
Amazon shopping,acquire,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,across,179,778915,0.0002298068467034272,4,1.0,0.0002298068467034272
Amazon shopping,act,159,778915,0.00020413010405499957,4,1.0,0.00020413010405499957
Amazon shopping,acting,78,778915,0.00010013929632886772,4,1.0,0.00010013929632886772
Amazon shopping,action,175,778915,0.00022467149817374167,4,1.0,0.00022467149817374167
Amazon shopping,activate,52,778915,6.675953088591181e-05,4,1.0,6.675953088591181e-05
Amazon shopping,activated,21,778915,2.6960579780849e-05,3,1.2231435513142097,3.297665929863772e-05
Amazon shopping,activating,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,active,79,778915,0.0001014231334612891,4,1.0,0.0001014231334612891
Amazon shopping,actively,33,778915,4.236662536990557e-05,4,1.0,4.236662536990557e-05
Amazon shopping,activitie,29,778915,3.723127684022005e-05,4,1.0,3.723127684022005e-05
Amazon shopping,activity,246,778915,0.0003158239345756597,4,1.0,0.0003158239345756597
Amazon shopping,actual,398,778915,0.0005109671787037097,4,1.0,0.0005109671787037097
Amazon shopping,actually,1284,778915,0.0016484468780290531,4,1.0,0.0016484468780290531
Amazon shopping,ada,3,778915,3.851511397264143e-06,3,1.2231435513142097,4.710951328376818e-06
Amazon shopping,adapt,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,adapter,10,778915,1.283837132421381e-05,3,1.2231435513142097,1.5703171094589392e-05
Amazon shopping,add,2029,778915,0.002604905541682982,4,1.0,0.002604905541682982
Amazon shopping,added,501,778915,0.0006432024033431119,4,1.0,0.0006432024033431119
Amazon shopping,addict,17,778915,2.1825231251163477e-05,4,1.0,2.1825231251163477e-05
Amazon shopping,addicted,126,778915,0.00016176347868509402,4,1.0,0.00016176347868509402
Amazon shopping,addicting,38,778915,4.878581103201248e-05,4,1.0,4.878581103201248e-05
Amazon shopping,addiction,48,778915,6.162418235622629e-05,4,1.0,6.162418235622629e-05
Amazon shopping,addictive,74,778915,9.50039477991822e-05,4,1.0,9.50039477991822e-05
Amazon shopping,adding,353,778915,0.0004531945077447475,4,1.0,0.0004531945077447475
Amazon shopping,addition,104,778915,0.00013351906177182363,4,1.0,0.00013351906177182363
Amazon shopping,additional,106,778915,0.0001360867360366664,4,1.0,0.0001360867360366664
Amazon shopping,additionally,35,778915,4.4934299634748335e-05,4,1.0,4.4934299634748335e-05
Amazon shopping,address,1634,778915,0.0020977898743765365,4,1.0,0.0020977898743765365
Amazon shopping,addresse,134,778915,0.00017203417574446507,4,1.0,0.00017203417574446507
Amazon shopping,addressed,37,778915,4.75019738995911e-05,4,1.0,4.75019738995911e-05
Amazon shopping,addressing,11,778915,1.4122208456635191e-05,4,1.0,1.4122208456635191e-05
Amazon shopping,adequate,13,778915,1.6689882721477953e-05,4,1.0,1.6689882721477953e-05
Amazon shopping,adjust,57,778915,7.317871654801872e-05,4,1.0,7.317871654801872e-05
Amazon shopping,adjusted,14,778915,1.7973719853899334e-05,4,1.0,1.7973719853899334e-05
Amazon shopping,adjusting,6,778915,7.703022794528286e-06,4,1.0,7.703022794528286e-06
Amazon shopping,adjustment,20,778915,2.567674264842762e-05,4,1.0,2.567674264842762e-05
Amazon shopping,admin,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,admit,57,778915,7.317871654801872e-05,4,1.0,7.317871654801872e-05
Amazon shopping,admitted,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,adorable,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,adore,17,778915,2.1825231251163477e-05,4,1.0,2.1825231251163477e-05
Amazon shopping,adress,50,778915,6.419185662106905e-05,4,1.0,6.419185662106905e-05
Amazon shopping,ads,1136,778915,0.001458438982430689,4,1.0,0.001458438982430689
Amazon shopping,adult,48,778915,6.162418235622629e-05,4,1.0,6.162418235622629e-05
Amazon shopping,advance,54,778915,6.932720515075457e-05,4,1.0,6.932720515075457e-05
Amazon shopping,advanced,34,778915,4.3650462502326954e-05,4,1.0,4.3650462502326954e-05
Amazon shopping,advantage,116,778915,0.0001489251073608802,4,1.0,0.0001489251073608802
Amazon shopping,advert,115,778915,0.0001476412702284588,4,1.0,0.0001476412702284588
Amazon shopping,advertise,104,778915,0.00013351906177182363,4,1.0,0.00013351906177182363
Amazon shopping,advertised,167,778915,0.00021440080111437062,4,1.0,0.00021440080111437062
Amazon shopping,advertisement,185,778915,0.0002375098694979555,4,1.0,0.0002375098694979555
Amazon shopping,advertising,268,778915,0.00034406835148893014,4,1.0,0.00034406835148893014
Amazon shopping,advertisment,4,778915,5.135348529685524e-06,4,1.0,5.135348529685524e-06
Amazon shopping,advice,91,778915,0.00011682917905034568,4,1.0,0.00011682917905034568
